CurCmd = Empty,Chan2[NODE_2].Cmd = Inv,ShrSet[NODE_1] = true,Chan1[NODE_2].Cmd = ReqS,Chan2[NODE_1].Cmd = Empty,Chan2[NODE_2].Cmd = GntS,Chan2[NODE_2].Cmd = Empty,InvSet[NODE_2] = true,Chan1[NODE_1].Cmd = ReqE,Chan1[NODE_2].Cmd = Empty,Chan2[NODE_1].Cmd = Inv,InvSet[NODE_2] = false,CurCmd = ReqE,Chan2[NODE_2].Cmd = GntE,Cache[NODE_1].State = I,Chan1[NODE_2].Cmd = ReqE,Chan3[NODE_1].Cmd = InvAck,Chan3[NODE_1].Cmd = Empty,CurCmd = ReqS,InvSet[NODE_1] = false,Cache[NODE_1].State = E,Chan3[NODE_2].Cmd = InvAck,Cache[NODE_2].State = I,ExGntd = false,Chan1[NODE_1].Cmd = Empty,Chan1[NODE_1].Cmd = ReqS,Chan2[NODE_1].Cmd = GntS,ShrSet[NODE_2] = false,InvSet[NODE_1] = true,Cache[NODE_2].State = S,Cache[NODE_2].State = E,Chan2[NODE_1].Cmd = GntE,ShrSet[NODE_2] = true,Cache[NODE_1].State = S,ShrSet[NODE_1] = false,ExGntd = true,Chan3[NODE_2].Cmd = Empty
True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True
True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True
True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True
False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True
True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True
True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True
False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True
True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True
True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True
False,False,False,False,True,False,True,False,True,True,False,True,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True
False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True
False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True
False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True
False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True
True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True
False,False,False,False,True,False,True,False,True,True,False,True,False,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True
False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True
False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True
